STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:RAIL_PA_TOTAL$DEFAULTVIEW(1.0),Passengers transported,A,Annual,MIO_PKM,Millions of passenger-kilometres,AT,Austria,2015,,12104,,,,,
dataflow,ESTAT:RAIL_PA_TOTAL$DEFAULTVIEW(1.0),Passengers transported,A,Annual,MIO_PKM,Millions of passenger-kilometres,AT,Austria,2016,,12497,,,,,
dataflow,ESTAT:RAIL_PA_TOTAL$DEFAULTVIEW(1.0),Passengers transported,A,Annual,MIO_PKM,Millions of passenger-kilometres,AT,Austria,2017,,12562,,,,,
dataflow,ESTAT:RAIL_PA_TOTAL$DEFAULTVIEW(1.0),Passengers transported,A,Annual,MIO_PKM,Millions of passenger-kilometres,AT,Austria,2018,,13122,,,,,
dataflow,ESTAT:RAIL_PA_TOTAL$DEFAULTVIEW(1.0),Passengers transported,A,Annual,MIO_PKM,Millions of passenger-kilometres,AT,Austria,2019,,13252,,,,,
dataflow,ESTAT:RAIL_PA_TOTAL$DEFAULTVIEW(1.0),Passengers transported,A,Annual,MIO_PKM,Millions of passenger-kilometres,AT,Austria,2020,,7375,,,,,
dataflow,ESTAT:RAIL_PA_TOTAL$DEFAULTVIEW(1.0),Passengers transported,A,Annual,MIO_PKM,Millions of passenger-kilometres,AT,Austria,2021,,8447,,,,,
dataflow,ESTAT:RAIL_PA_TOTAL$DEFAULTVIEW(1.0),Passengers transported,A,Annual,MIO_PKM,Millions of passenger-kilometres,AT,Austria,2022,,12855,,,,,
dataflow,ESTAT:RAIL_PA_TOTAL$DEFAULTVIEW(1.0),Passengers transported,A,Annual,MIO_PKM,Millions of passenger-kilometres,AT,Austria,2023,,14435,,,,,
dataflow,ESTAT:RAIL_PA_TOTAL$DEFAULTVIEW(1.0),Passengers transported,A,Annual,MIO_PKM,Millions of passenger-kilometres,AT,Austria,2024,,14842,,,,,
